Gene_Public_Name,Gene_WB220ID,DE_Pval,DE_FDR,DE_logFC,TFhit_pval,TFHit_MinAbsDistance,TFHit_MinRelDistance,TotalHits_in_range
aap-1,WBGene00000001,1.00000000,1.00000000,0.00000000,0.00000000,1619,-1619,4
aat-1,WBGene00000002,0.00072700,0.02508879,3.46984772,0.00000000,5274,-5274,3
aat-2,WBGene00000003,1.00000000,1.00000000,0.00000000,0.00000000,595,-595,5
aat-3,WBGene00000004,1.00000000,1.00000000,0.00000000,0.00000000,478,-478,6
aat-4,WBGene00000005,1.00000000,1.00000000,0.00000000,0.00000000,49358,49358,2
aat-5,WBGene00000006,1.00000000,1.00000000,0.00000000,0.00000000,5633,5633,6
aat-6,WBGene00000007,1.00000000,1.00000000,0.00000000,0.00000000,38334,38334,1
aat-7,WBGene00000008,1.00000000,1.00000000,0.00000000,0.00000000,15496,15496,1
aat-8,WBGene00000009,1.00000000,1.00000000,0.00000000,0.00000000,12624,12624,4
aat-9,WBGene00000010,1.00000000,1.00000000,0.00000000,0.00000000,14126,-14126,2
abf-1,WBGene00000012,1.00000000,1.00000000,0.00000000,0.00000000,5531,5531,7
abf-2,WBGene00000013,1.00000000,1.00000000,0.00000000,0.00000000,6094,6094,7
abf-3,WBGene00000014,1.00000000,1.00000000,0.00000000,0.00000000,1152,-1152,1
abf-4,WBGene00000015,1.00000000,1.00000000,0.00000000,0.00000000,22792,22792,1
abf-5,WBGene00000016,1.00000000,1.00000000,0.00000000,0.00000000,31287,-31287,1
abf-6,WBGene00000017,1.00000000,1.00000000,0.00000000,0.00000000,32615,-32615,2
abl-1,WBGene00000018,1.00000000,1.00000000,0.00000000,0.00000000,31853,31853,1
abt-1,WBGene00000019,1.00000000,1.00000000,0.00000000,0.00000000,16121,16121,7
abt-2,WBGene00000020,1.00000000,1.00000000,0.00000000,0.00000000,35416,35416,4
abt-4,WBGene00000022,1.00000000,1.00000000,0.00000000,0.00000000,3552,-3552,4
abt-5,WBGene00000023,1.00000000,1.00000000,0.00000000,0.00000000,28631,28631,5
abu-1,WBGene00000024,1.00000000,1.00000000,0.00000000,0.00000000,8979,-8979,6
abu-2,WBGene00000025,1.00000000,1.00000000,0.00000000,0.00000000,29170,-29170,5
abu-3,WBGene00000026,1.00000000,1.00000000,0.00000000,0.00000000,7691,-7691,9
