Gene_Public_Name,Gene_WB220ID,DE_Pval,DE_FDR,DE_logFC,TFhit_pval,TFHit_MinAbsDistance,TFHit_MinRelDistance,TotalHits_in_range
alh-12,WBGene00000118,0.00044166,0.01721108,2.56601368,0.00001200,115,-115,1
col-98,WBGene00000673,0.00000010,0.00001416,4.36219001,0.00000000,50,-50,1
col-103,WBGene00000677,0.00000087,0.00008639,3.77655508,0.00000000,58,-58,1
col-160,WBGene00000733,0.00000000,0.00000001,6.09459347,0.00000157,216,-216,1
dhs-2,WBGene00000966,0.00000000,0.00000243,6.19559100,0.00000002,119,-119,1
elo-2,WBGene00001240,0.00071325,0.02502828,2.49591519,0.00057671,121,-121,1
elo-6,WBGene00001244,0.00000000,0.00000040,4.84884177,0.00001570,257,-257,1
fat-5,WBGene00001397,0.00000000,0.00000001,5.86147568,0.00000060,423,-423,1
fmo-2,WBGene00001477,0.00003887,0.00241155,-5.46875174,0.00000000,81,-81,1
lec-6,WBGene00002269,0.00027766,0.01210854,2.55994370,0.00000000,141,-141,1
nhr-68,WBGene00003658,0.00164175,0.04716722,2.57564238,0.00000000,437,-437,1
rpl-38,WBGene00004452,0.00029498,0.03074694,-2.58048745,0.00000000,334,-334,1
rpl-39,WBGene00004453,0.00038574,0.03918557,-2.48217449,0.00000000,358,-358,1
spp-8,WBGene00004993,0.00001167,0.00085634,3.20367361,0.00000028,149,-149,1
spp-18,WBGene00005003,0.00100214,0.03162700,2.99067988,0.00000000,10,10,1
cyp-29A4,WBGene00007140,0.00149543,0.04379309,2.88174551,0.00019297,372,-372,1
B0564.3,WBGene00007203,0.00004851,0.00284828,-3.92752744,0.00000000,64,-64,1
pho-11,WBGene00007331,0.00000000,0.00000000,8.86887017,0.00000000,643,-643,1
C18D11.6,WBGene00007682,0.00022223,0.01013170,-3.50437565,0.00000788,30,-30,1
D1086.3,WBGene00008390,0.00000001,0.00000302,4.68284144,0.00000001,322,-322,1
F11E6.3,WBGene00008707,0.00002595,0.00174505,3.19117282,0.00000000,220,-220,1
scl-2,WBGene00009895,0.00000000,0.00000000,7.69447861,0.00005450,31,-31,1
asah-1,WBGene00010769,0.00000001,0.00000216,4.51555717,0.00007790,40,-40,1
LLC1.2,WBGene00010793,0.00047666,0.01809714,2.47635002,0.00015527,16,-16,1
T12D8.5,WBGene00011733,0.00164175,0.04716722,2.57564238,0.00000000,17,17,1
T26H2.5,WBGene00012067,0.00000001,0.00000205,-34.70543811,0.00095074,200,-200,1
asic-2,WBGene00012137,0.00001189,0.00086220,-4.22363924,0.00000000,90,90,1
dct-16,WBGene00012615,0.00000085,0.00008596,3.76646472,0.00000002,76,-76,1
Y41C4A.11,WBGene00012757,0.00000169,0.00030677,-4.53911862,0.00000000,235,-235,1
Y49E10.16,WBGene00013035,0.00123952,0.03805828,2.30324124,0.00000000,584,-584,1
Y105C5A.13,WBGene00013637,0.00005780,0.00708381,-4.88374567,0.00025938,120,-120,1
Y105C5B.9,WBGene00013650,0.00015738,0.00787244,4.61871110,0.00000000,526,-526,1
nhr-247,WBGene00014193,0.00072685,0.03829897,-32.06185963,0.00000165,222,-222,1
gstk-1,WBGene00014251,0.00010810,0.00897912,2.97741083,0.00000000,503,-503,1
C06A8.3,WBGene00015514,0.00034270,0.01406210,2.56687217,0.00001480,69,69,1
C14B9.10,WBGene00015755,0.00017180,0.01889311,-2.86970487,0.00000000,277,-277,1
C17F4.7,WBGene00015913,0.00000003,0.00000572,4.13524543,0.00000049,17,17,1
dod-3,WBGene00016052,0.00000000,0.00000000,7.83045628,0.00000000,31,31,1
F31F7.1,WBGene00017964,0.00069900,0.03715883,2.42495297,0.00000000,16,-16,1
btb-16,WBGene00018195,0.00100520,0.03162700,3.14595811,0.00033687,1,-1,1
F43H9.4,WBGene00018400,0.00074451,0.03888666,2.65502262,0.00000000,114,-114,1
bcmo-2,WBGene00018755,0.00015473,0.00782482,4.20367361,0.00000002,659,-659,1
F58A6.1,WBGene00019022,0.00029139,0.01949743,4.10248159,0.00000000,94,-94,1
cpt-4,WBGene00019644,0.00000061,0.00006512,-4.75415396,0.00000000,180,-180,1
aagr-2,WBGene00019895,0.00046843,0.01801303,2.43928340,0.00000000,341,-341,1
clec-53,WBGene00020191,0.00053040,0.01953743,31.86415842,0.00000055,565,-565,1
T08H10.1,WBGene00020369,0.00035108,0.01422764,2.64275658,0.00000001,196,-196,1
T22F3.11,WBGene00020700,0.00001337,0.00095753,-3.97125208,0.00000231,26,26,1
cyp-32B1,WBGene00021167,0.00000656,0.00051984,5.61871110,0.00000554,29,-29,1
Y46H3A.5,WBGene00021601,0.00000600,0.00048498,-4.82630374,0.00007170,202,-202,1
Y51F10.7,WBGene00021768,0.00000000,0.00000004,7.57016725,0.00003880,151,-151,1
Y119D3B.21,WBGene00022497,0.00000121,0.00025511,-3.62693231,0.00000010,62,-62,1
F18E3.13,WBGene00045276,0.00045879,0.01775564,3.59014195,0.00000000,6,-6,1
T10C6.15,WBGene00050899,0.00000005,0.00000772,-33.86896305,0.00000000,217,-217,1
